date,jour_semaine,jour_mois,semaine_annee,mois,annee,saison,vacances_scolaires,temperature_moyenne,temperature_min,temperature_max,meteo_principale,indice_chaleur,indice_froid,lits_total,lits_occupes,taux_occupation_lits,nb_medecins_disponibles,nb_infirmiers_disponibles,nb_aides_soignants_disponibles,taux_couverture_personnel,nombre_admissions,nombre_passages_urgences,nombre_hospitalisations,nombre_sorties,evenement_special,impact_evenement_estime
2022-01-01,Samedi,1,52,1,2022,Hiver,1,"11,1","8,4","14,3",Frais,"0,0","0,0",1650,1207,"0,73",56,235,210,"0,93",236,1110,153,232,Epidemie_grippe,"0,16"
2022-01-02,Dimanche,2,52,1,2022,Hiver,1,"12,7","10,3","14,6",Gris,"0,0","0,0",1650,1068,"0,65",58,224,210,"0,91",275,1043,178,205,Epidemie_grippe,"0,22"
2022-01-03,Lundi,3,1,1,2022,Hiver,1,"12,0","11,3","13,4",Pluie,"0,0","0,0",1650,801,"0,49",57,218,210,"0,9",352,966,228,154,Epidemie_grippe,"0,14"
2022-01-04,Mardi,4,1,1,2022,Hiver,1,"8,6","7,9","10,4",Pluie,"0,0","0,0",1650,1311,"0,79",61,230,210,"0,93",325,966,211,252,Epidemie_grippe,"0,11"
2022-01-05,Mercredi,5,1,1,2022,Hiver,1,"4,8","3,2","7,7",Froid,"0,0","0,0",1650,1335,"0,81",60,238,210,"0,94",299,966,194,256,Epidemie_grippe,"0,14"
2022-01-06,Jeudi,6,1,1,2022,Hiver,0,"4,5","1,5","7,5",Froid,"0,0","0,0",1650,893,"0,54",62,231,210,"0,93",337,920,219,171,Epidemie_grippe,"0,19"
2022-01-07,Vendredi,7,1,1,2022,Hiver,0,"6,2","3,2","9,2",Pluie,"0,0","0,0",1650,1301,"0,79",61,222,210,"0,91",477,1012,310,250,Epidemie_grippe,"0,11"
2022-01-08,Samedi,8,1,1,2022,Hiver,0,"6,9","4,3","9,3",Pluie,"0,0","0,0",1650,1087,"0,66",62,229,210,"0,93",338,1058,219,209,Epidemie_grippe,"0,15"
2022-01-09,Dimanche,9,1,1,2022,Hiver,0,"5,7","4,8","6,6",Pluie,"0,0","0,0",1650,1210,"0,73",59,220,210,"0,91",466,993,302,232,Epidemie_grippe,"0,21"
2022-01-10,Lundi,10,2,1,2022,Hiver,0,"3,8","2,4","4,6",Froid,"0,0","0,0",1650,1158,"0,7",59,219,210,"0,9",474,920,308,222,Epidemie_grippe,"0,15"
2022-01-11,Mardi,11,2,1,2022,Hiver,0,"2,1","1,3","4,7",Froid,"0,0","0,0",1650,1346,"0,82",62,232,210,"0,93",479,920,311,258,Epidemie_grippe,"0,24"
2022-01-12,Mercredi,12,2,1,2022,Hiver,0,"3,0","-0,4","6,1",Froid,"0,0","0,4",1650,913,"0,55",56,222,210,"0,9",451,920,293,175,Epidemie_grippe,"0,21"
2022-01-13,Jeudi,13,2,1,2022,Hiver,0,"2,6","2,0","4,7",Froid,"0,0","0,0",1650,821,"0,5",59,224,210,"0,91",449,920,291,157,Epidemie_grippe,"0,24"
2022-01-14,Vendredi,14,2,1,2022,Hiver,0,"3,6","0,3","8,8",Froid,"0,0","0,0",1650,1083,"0,66",56,223,210,"0,91",430,1012,279,208,Epidemie_grippe,"0,14"
2022-01-15,Samedi,15,2,1,2022,Hiver,0,"3,0","0,3","9,6",Froid,"0,0","0,0",1650,965,"0,58",57,233,210,"0,93",426,1058,276,185,Epidemie_grippe,"0,25"
2022-01-16,Dimanche,16,2,1,2022,Hiver,0,"2,9","-0,7","6,4",Froid,"0,0","0,7",1650,1061,"0,64",61,223,210,"0,91",295,993,191,204,Epidemie_grippe,"0,22"
2022-01-17,Lundi,17,3,1,2022,Hiver,0,"6,0","4,8","7,9",Frais,"0,0","0,0",1650,1128,"0,68",58,239,210,"0,94",448,920,291,216,Epidemie_grippe,"0,2"
2022-01-18,Mardi,18,3,1,2022,Hiver,0,"5,3","1,5","10,7",Frais,"0,0","0,0",1650,1567,"0,95",57,233,210,"0,93",507,920,329,301,Epidemie_grippe,"0,22"
2022-01-19,Mercredi,19,3,1,2022,Hiver,0,"6,2","4,8","7,1",Pluie,"0,0","0,0",1650,1355,"0,82",57,218,210,"0,9",445,920,289,260,Epidemie_grippe,"0,21"
2022-01-20,Jeudi,20,3,1,2022,Hiver,0,"5,1","3,1","8,4",Frais,"0,0","0,0",1650,954,"0,58",61,224,210,"0,92",445,920,289,183,Epidemie_grippe,"0,1"
2022-01-21,Vendredi,21,3,1,2022,Hiver,0,"4,3","2,5","6,3",Froid,"0,0","0,0",1650,1310,"0,79",56,224,210,"0,91",457,1012,297,251,Epidemie_grippe,"0,2"
2022-01-22,Samedi,22,3,1,2022,Hiver,0,"5,5","3,8","6,8",Frais,"0,0","0,0",1650,1243,"0,75",60,234,210,"0,93",446,1058,289,239,Epidemie_grippe,"0,23"
2022-01-23,Dimanche,23,3,1,2022,Hiver,0,"4,2","3,8","5,1",Froid,"0,0","0,0",1650,1277,"0,77",63,227,210,"0,93",372,993,241,245,Epidemie_grippe,"0,2"
2022-01-24,Lundi,24,4,1,2022,Hiver,0,"3,6","0,6","8,9",Froid,"0,0","0,0",1650,1170,"0,71",60,241,210,"0,95",484,920,314,225,Epidemie_grippe,"0,13"
2022-01-25,Mardi,25,4,1,2022,Hiver,0,"1,0","-0,9","2,8",Neige,"0,0","0,9",1650,1328,"0,8",62,240,210,"0,95",518,920,336,255,Epidemie_grippe,"0,33"
2022-01-26,Mercredi,26,4,1,2022,Hiver,0,"2,7","0,3","4,1",Froid,"0,0","0,0",1650,1318,"0,8",63,219,210,"0,91",534,920,347,253,Epidemie_grippe,"0,22"
2022-01-27,Jeudi,27,4,1,2022,Hiver,0,"5,8","2,9","8,3",Frais,"0,0","0,0",1650,1213,"0,74",56,226,210,"0,91",299,920,194,233,Epidemie_grippe,"0,17"
2022-01-28,Vendredi,28,4,1,2022,Hiver,0,"7,3","6,2","7,9",Frais,"0,0","0,0",1650,945,"0,57",56,235,210,"0,93",440,1012,286,181,Epidemie_grippe,"0,22"
2022-01-29,Samedi,29,4,1,2022,Hiver,0,"9,3","6,5","11,0",Frais,"0,0","0,0",1650,1051,"0,64",59,242,210,"0,95",424,1058,275,202,Epidemie_grippe,"0,18"
2022-01-30,Dimanche,30,4,1,2022,Hiver,0,"9,0","6,4","12,3",Frais,"0,0","0,0",1650,1102,"0,67",60,226,210,"0,92",324,993,210,211,Epidemie_grippe,"0,16"
2022-01-31,Lundi,31,5,1,2022,Hiver,0,"7,2","6,0","10,0",Frais,"0,0","0,0",1650,1459,"0,88",58,219,210,"0,9",313,920,203,280,Epidemie_grippe,"0,18"
2022-02-01,Mardi,1,5,2,2022,Hiver,0,"8,2","4,0","11,1",Frais,"0,0","0,0",1650,1463,"0,89",70,260,210,"1,0",384,920,249,281,Epidemie_grippe,"0,23"
2022-02-02,Mercredi,2,5,2,2022,Hiver,0,"10,5","10,2","12,0",Frais,"0,0","0,0",1650,1137,"0,69",70,260,210,"1,0",326,920,211,218,Epidemie_grippe,"0,17"
2022-02-03,Jeudi,3,5,2,2022,Hiver,0,"8,2","7,5","8,9",Frais,"0,0","0,0",1650,1373,"0,83",70,260,210,"1,0",509,920,330,264,Epidemie_grippe,"0,16"
2022-02-04,Vendredi,4,5,2,2022,Hiver,0,"8,0","7,1","12,0",Frais,"0,0","0,0",1650,1542,"0,93",70,260,210,"1,0",446,1012,289,296,Epidemie_grippe,"0,16"
2022-02-05,Samedi,5,5,2,2022,Hiver,0,"7,6","3,7","11,9",Frais,"0,0","0,0",1650,1165,"0,71",70,260,210,"1,0",348,1058,226,224,Epidemie_grippe,"0,2"
2022-02-06,Dimanche,6,5,2,2022,Hiver,0,"9,7","7,8","11,6",Pluie,"0,0","0,0",1650,1366,"0,83",70,260,210,"1,0",229,993,148,262,Epidemie_grippe,"0,24"
2022-02-07,Lundi,7,6,2,2022,Hiver,0,"8,6","5,8","12,4",Frais,"0,0","0,0",1650,1166,"0,71",70,260,210,"1,0",466,920,302,224,Epidemie_grippe,"0,17"
2022-02-08,Mardi,8,6,2,2022,Hiver,0,"9,4","7,6","12,0",Frais,"0,0","0,0",1650,1189,"0,72",70,260,210,"1,0",378,920,245,228,Epidemie_grippe,"0,24"
2022-02-09,Mercredi,9,6,2,2022,Hiver,0,"8,2","3,3","14,4",Frais,"0,0","0,0",1650,1096,"0,66",70,260,210,"1,0",388,920,252,210,Epidemie_grippe,"0,23"
2022-02-10,Jeudi,10,6,2,2022,Hiver,0,"7,6","6,6","10,8",Pluie,"0,0","0,0",1650,1250,"0,76",70,260,210,"1,0",465,920,302,240,Epidemie_grippe,"0,19"
2022-02-11,Vendredi,11,6,2,2022,Hiver,0,"5,5","2,6","11,5",Frais,"0,0","0,0",1650,1037,"0,63",70,260,210,"1,0",479,1012,311,199,Epidemie_grippe,"0,14"
2022-02-12,Samedi,12,6,2,2022,Hiver,0,"5,5","1,8","11,2",Frais,"0,0","0,0",1650,953,"0,58",70,260,210,"1,0",243,1058,157,183,Epidemie_grippe,"0,25"
2022-02-13,Dimanche,13,6,2,2022,Hiver,1,"8,3","1,3","14,9",Frais,"0,0","0,0",1650,1082,"0,66",70,260,210,"1,0",453,1043,294,208,Epidemie_grippe,"0,15"
2022-02-14,Lundi,14,7,2,2022,Hiver,1,"9,7","8,2","12,8",Pluie,"0,0","0,0",1650,1308,"0,79",70,260,210,"1,0",406,966,263,251,Epidemie_grippe,"0,12"
2022-02-15,Mardi,15,7,2,2022,Hiver,1,"8,8","5,9","11,8",Pluie,"0,0","0,0",1650,1295,"0,78",70,260,210,"1,0",347,966,225,249,Epidemie_grippe,"0,15"
2022-02-16,Mercredi,16,7,2,2022,Hiver,1,"13,2","9,5","16,2",Gris,"0,0","0,0",1650,1053,"0,64",70,260,210,"1,0",392,966,254,202,Epidemie_grippe,"0,24"
2022-02-17,Jeudi,17,7,2,2022,Hiver,1,"12,9","11,2","15,7",Gris,"0,0","0,0",1650,1330,"0,81",70,260,210,"1,0",524,966,340,255,Epidemie_grippe,"0,24"
2022-02-18,Vendredi,18,7,2,2022,Hiver,1,"10,8","9,9","12,9",Pluie,"0,0","0,0",1650,957,"0,58",70,260,210,"1,0",488,1062,317,184,Epidemie_grippe,"0,14"
2022-02-19,Samedi,19,7,2,2022,Hiver,1,"8,2","4,2","11,2",Frais,"0,0","0,0",1650,1153,"0,7",70,260,210,"1,0",282,1110,183,221,Epidemie_grippe,"0,22"
2022-02-20,Dimanche,20,7,2,2022,Hiver,1,"11,5","8,9","13,9",Pluie,"0,0","0,0",1650,1287,"0,78",70,260,210,"1,0",292,1043,189,247,Epidemie_grippe,"0,17"
2022-02-21,Lundi,21,8,2,2022,Hiver,1,"8,9","5,9","11,0",Frais,"0,0","0,0",1650,1379,"0,84",70,260,210,"1,0",413,966,268,265,Epidemie_grippe,"0,12"
2022-02-22,Mardi,22,8,2,2022,Hiver,1,"9,9","6,7","13,6",Frais,"0,0","0,0",1650,1188,"0,72",70,260,210,"1,0",373,966,242,228,Epidemie_grippe,"0,11"
2022-02-23,Mercredi,23,8,2,2022,Hiver,1,"10,0","5,6","12,5",Frais,"0,0","0,0",1650,1076,"0,65",70,260,210,"1,0",494,966,321,206,Epidemie_grippe,"0,21"
2022-02-24,Jeudi,24,8,2,2022,Hiver,1,"8,5","7,2","12,7",Pluie,"0,0","0,0",1650,1379,"0,84",70,260,210,"1,0",320,966,208,265,Epidemie_grippe,"0,25"
2022-02-25,Vendredi,25,8,2,2022,Hiver,0,"7,1","4,2","12,5",Frais,"0,0","0,0",1650,1414,"0,86",70,260,210,"1,0",298,1012,193,271,Epidemie_grippe,"0,22"
2022-02-26,Samedi,26,8,2,2022,Hiver,0,"6,4","1,8","11,6",Frais,"0,0","0,0",1650,1154,"0,7",70,260,210,"1,0",336,1058,218,221,Epidemie_grippe,"0,12"
2022-02-27,Dimanche,27,8,2,2022,Hiver,0,"6,1","1,3","11,6",Frais,"0,0","0,0",1650,1282,"0,78",70,260,210,"1,0",454,993,295,246,Epidemie_grippe,"0,11"
2022-02-28,Lundi,28,9,2,2022,Hiver,0,"7,2","1,4","13,6",Frais,"0,0","0,0",1650,1015,"0,62",70,260,210,"1,0",338,920,219,195,Epidemie_grippe,"0,24"
2022-03-01,Mardi,1,9,3,2022,Printemps,0,"9,0","4,4","13,4",Frais,"0,0","0,0",1650,1157,"0,7",70,260,210,"1,0",376,920,244,222,Aucun,"0,0"
2022-03-02,Mercredi,2,9,3,2022,Printemps,0,"9,3","6,1","13,5",Frais,"0,0","0,0",1650,1027,"0,62",70,260,210,"1,0",367,920,238,197,Aucun,"0,0"
2022-03-03,Jeudi,3,9,3,2022,Printemps,0,"10,4","7,2","12,7",Frais,"0,0","0,0",1650,1237,"0,75",70,260,210,"1,0",361,920,234,237,Aucun,"0,0"
2022-03-04,Vendredi,4,9,3,2022,Printemps,0,"10,2","7,9","13,5",Frais,"0,0","0,0",1650,1313,"0,8",70,260,210,"1,0",464,1012,301,252,Aucun,"0,0"
2022-03-05,Samedi,5,9,3,2022,Printemps,0,"9,3","7,0","14,0",Frais,"0,0","0,0",1650,1028,"0,62",70,260,210,"1,0",461,1058,299,197,Aucun,"0,0"
2022-03-06,Dimanche,6,9,3,2022,Printemps,0,"5,7","1,8","10,8",Frais,"0,0","0,0",1650,1185,"0,72",70,260,210,"1,0",368,993,239,227,Aucun,"0,0"
2022-03-07,Lundi,7,10,3,2022,Printemps,0,"3,9","-0,5","8,7",Froid,"0,0","0,5",1650,1316,"0,8",70,260,210,"1,0",385,920,250,253,Vague_froid,"0,05"
2022-03-08,Mardi,8,10,3,2022,Printemps,0,"7,2","0,4","14,6",Frais,"0,0","0,0",1650,1056,"0,64",70,260,210,"1,0",299,920,194,203,Aucun,"0,0"
2022-03-09,Mercredi,9,10,3,2022,Printemps,0,"10,1","3,5","16,7",Frais,"0,0","0,0",1650,1068,"0,65",70,260,210,"1,0",207,920,134,205,Aucun,"0,0"
2022-03-10,Jeudi,10,10,3,2022,Printemps,0,"12,1","6,4","18,7",Doux,"0,0","0,0",1650,1179,"0,71",70,260,210,"1,0",305,920,198,226,Aucun,"0,0"
2022-03-11,Vendredi,11,10,3,2022,Printemps,0,"10,5","8,3","13,4",Pluie,"0,0","0,0",1650,1464,"0,89",70,260,210,"1,0",384,1012,249,281,Aucun,"0,0"
2022-03-12,Samedi,12,10,3,2022,Printemps,0,"9,0","6,9","11,1",Frais,"0,0","0,0",1650,1059,"0,64",70,260,210,"1,0",374,1058,243,203,Aucun,"0,0"
2022-03-13,Dimanche,13,10,3,2022,Printemps,0,"9,4","8,2","12,4",Pluie,"0,0","0,0",1650,1236,"0,75",70,260,210,"1,0",241,993,156,237,Aucun,"0,0"
2022-03-14,Lundi,14,11,3,2022,Printemps,0,"10,7","5,2","16,4",Pluie,"0,0","0,0",1650,1457,"0,88",70,260,210,"1,0",264,920,171,280,Aucun,"0,0"
2022-03-15,Mardi,15,11,3,2022,Printemps,0,"10,5","9,3","11,7",Pluie,"0,0","0,0",1650,1077,"0,65",70,260,210,"1,0",444,920,288,207,Aucun,"0,0"
2022-03-16,Mercredi,16,11,3,2022,Printemps,0,"11,9","9,0","15,0",Frais,"0,0","0,0",1650,1378,"0,84",70,260,210,"1,0",236,920,153,265,Aucun,"0,0"
2022-03-17,Jeudi,17,11,3,2022,Printemps,0,"8,7","8,1","10,1",Frais,"0,0","0,0",1650,1359,"0,82",70,260,210,"1,0",351,920,228,261,Aucun,"0,0"
2022-03-18,Vendredi,18,11,3,2022,Printemps,0,"10,3","4,2","17,6",Frais,"0,0","0,0",1650,1056,"0,64",70,260,210,"1,0",245,1012,159,203,Aucun,"0,0"
2022-03-19,Samedi,19,11,3,2022,Printemps,0,"11,4","5,4","18,2",Frais,"0,0","0,0",1650,1162,"0,7",70,260,210,"1,0",306,1058,198,223,Aucun,"0,0"
2022-03-20,Dimanche,20,11,3,2022,Printemps,0,"8,9","3,0","14,9",Frais,"0,0","0,0",1650,1257,"0,76",70,260,210,"1,0",273,993,177,241,Aucun,"0,0"
2022-03-21,Lundi,21,12,3,2022,Printemps,0,"12,8","6,3","19,7",Doux,"0,0","0,0",1650,1131,"0,69",70,260,210,"1,0",283,920,183,217,Aucun,"0,0"
2022-03-22,Mardi,22,12,3,2022,Printemps,0,"13,3","8,4","19,7",Doux,"0,0","0,0",1650,1239,"0,75",70,260,210,"1,0",368,920,239,238,Aucun,"0,0"
2022-03-23,Mercredi,23,12,3,2022,Printemps,0,"12,9","5,0","20,1",Doux,"0,0","0,0",1650,969,"0,59",70,260,210,"1,0",411,920,267,186,Aucun,"0,0"
2022-03-24,Jeudi,24,12,3,2022,Printemps,0,"14,0","5,5","22,9",Doux,"0,0","0,0",1650,1365,"0,83",70,260,210,"1,0",249,920,161,262,Aucun,"0,0"
2022-03-25,Vendredi,25,12,3,2022,Printemps,0,"14,0","6,5","22,0",Doux,"0,0","0,0",1650,1031,"0,62",70,260,210,"1,0",383,1012,248,198,Aucun,"0,0"
2022-03-26,Samedi,26,12,3,2022,Printemps,0,"13,9","6,2","21,9",Doux,"0,0","0,0",1650,1174,"0,71",70,260,210,"1,0",417,1058,271,225,Aucun,"0,0"
2022-03-27,Dimanche,27,12,3,2022,Printemps,0,"14,5","7,6","23,3",Doux,"0,0","0,0",1650,1166,"0,71",70,260,210,"1,0",390,993,253,224,Aucun,"0,0"
