Date (AAAAMMJJ);Precipitations (mm);Temperature min (C);Heure Temp min;Temperature max (C);Heure Temp max;Temperature moyenne (C);Moyenne Temp min-max (C);Amplitude thermique (C);Duree gel (min);Meteo;vacance_scolaire;Saison
20190101;0.0;7.7;234;9.0;1309;8.5;8.4;1.3;0;Frais;Non;Hiver
20190102;0.0;5.3;320;7.5;1258;6.1;6.4;2.2;0;Frais;Non;Hiver
20190103;0.0;3.7;349;7.0;1144;5.3;5.4;3.3;0;Frais;Non;Hiver
20190104;0.0;2.7;328;6.4;1402;4.7;4.6;3.7;0;Froid;Non;Hiver
20190105;0.0;4.2;21;6.0;1107;5.1;5.1;1.8;0;Frais;Non;Hiver
20190106;0.0;4.3;425;6.9;1410;5.8;5.6;2.6;0;Frais;Non;Hiver
20190107;0.8;6.2;2054;9.5;519;7.6;7.9;3.3;0;Frais;Non;Hiver
20190108;0.0;7.4;1709;10.2;1348;8.5;8.8;2.8;0;Frais;Non;Hiver
20190109;0.6;3.8;1549;6.4;1331;5.0;5.1;2.6;0;Frais;Non;Hiver
20190110;0.0;1.6;536;5.7;1352;3.8;3.7;4.1;0;Froid;Non;Hiver
20190111;1.4;4.0;2307;8.2;1648;6.3;6.1;4.2;0;Pluie;Non;Hiver
20190112;0.8;7.0;21;10.2;545;8.4;8.6;3.2;0;Frais;Non;Hiver
20190113;1.2;8.7;2341;12.2;1241;10.7;10.5;3.5;0;Pluie;Non;Hiver
20190114;0.0;8.1;404;9.7;1337;8.7;8.9;1.6;0;Frais;Non;Hiver
20190115;0.0;7.2;2159;9.0;1131;8.0;8.1;1.8;0;Frais;Non;Hiver
20190116;2.8;3.4;649;8.3;1357;6.0;5.9;4.9;0;Pluie;Non;Hiver
20190117;0.6;3.8;1757;8.9;1157;5.6;6.4;5.1;0;Frais;Non;Hiver
20190118;0.0;0.3;633;6.5;1212;2.7;3.4;6.2;0;Froid;Non;Hiver
20190119;6.4;-0.9;738;2.7;1953;1.1;0.9;3.6;416;Neige;Non;Hiver
20190120;0.4;2.3;1801;3.1;1053;2.4;2.7;0.8;50;Froid;Non;Hiver
20190121;0.0;-2.8;703;5.4;1357;0.2;1.3;8.2;749;Froid;Non;Hiver
20190122;6.2;-2.0;102;2.8;30;0.3;0.4;4.8;614;Neige;Non;Hiver
20190123;2.2;0.7;2150;2.1;723;1.4;1.4;1.4;144;Neige;Non;Hiver
20190124;1.0;-0.5;549;3.1;1524;1.6;1.3;3.6;276;Neige;Non;Hiver
20190125;1.0;2.0;30;9.1;24;4.6;5.6;7.1;0;Froid;Non;Hiver
20190126;1.0;5.8;1801;9.8;1119;8.8;7.8;4.0;0;Frais;Non;Hiver
20190127;7.4;4.5;1521;8.5;943;6.5;6.5;4.0;0;Pluie;Non;Hiver
20190128;0.0;3.3;1851;7.9;1308;4.7;5.6;4.6;0;Froid;Non;Hiver
20190129;21.0;0.4;452;5.4;1243;2.1;2.9;5.0;0;Pluie;Non;Hiver
20190130;2.4;0.1;2215;5.7;1245;2.6;2.9;5.6;0;Pluie;Non;Hiver
20190131;2.6;-0.6;617;5.2;2238;1.8;2.3;5.8;331;Neige;Non;Hiver
20190201;15.6;2.4;1801;8.2;1302;5.9;5.3;5.8;0;Pluie;Non;Hiver
20190202;0.0;3.6;410;5.4;1035;4.4;4.5;1.8;0;Froid;Non;Hiver
20190203;0.0;2.2;653;8.0;1330;3.9;5.1;5.8;0;Froid;Non;Hiver
20190204;0.0;0.3;300;4.6;1412;2.8;2.5;4.3;0;Froid;Non;Hiver
20190205;0.0;3.5;1801;10.1;1455;5.4;6.8;6.6;0;Frais;Non;Hiver
20190206;4.4;4.0;2001;10.7;413;7.9;7.4;6.7;0;Pluie;Non;Hiver
20190207;1.0;7.6;804;11.8;1307;9.3;9.7;4.2;0;Frais;Non;Hiver
20190208;2.8;7.4;2329;10.4;1823;9.2;8.9;3.0;0;Pluie;Non;Hiver
20190209;3.2;8.2;735;12.8;1423;10.1;10.5;4.6;0;Pluie;Non;Hiver
20190210;8.2;7.1;1442;10.8;606;8.5;9.0;3.7;0;Pluie;Non;Hiver
20190211;0.0;4.8;711;11.5;1354;6.6;8.2;6.7;0;Frais;Non;Hiver
20190212;0.2;1.7;527;10.4;1513;5.5;6.1;8.7;0;Frais;Non;Hiver
20190213;0.0;0.7;610;10.7;1441;4.7;5.7;10.0;0;Froid;Non;Hiver
20190214;0.0;1.0;726;15.4;1457;7.1;8.2;14.4;0;Frais;Non;Hiver
20190215;0.0;2.9;658;17.5;1436;8.3;10.2;14.6;0;Frais;Non;Hiver
20190216;0.0;2.8;614;17.6;1501;9.1;10.2;14.8;0;Frais;Non;Hiver
20190217;0.0;5.2;654;18.0;1513;10.3;11.6;12.8;0;Frais;Non;Hiver
20190218;0.0;3.7;538;16.1;1442;10.4;9.9;12.4;0;Frais;Non;Hiver
20190219;0.0;7.7;716;12.1;1502;8.8;9.9;4.4;0;Frais;Non;Hiver
20190220;0.0;3.4;429;15.1;1455;8.4;9.3;11.7;0;Frais;Non;Hiver
20190221;0.0;4.9;602;18.6;1438;10.4;11.8;13.7;0;Frais;Non;Hiver
20190222;0.0;4.5;459;19.8;1521;11.4;12.2;15.3;0;Frais;Non;Hiver
20190223;0.0;7.2;628;18.6;1413;11.5;12.9;11.4;0;Frais;Non;Hiver
20190224;0.0;3.5;720;17.8;1425;9.6;10.7;14.3;0;Frais;Non;Hiver
20190225;0.0;4.1;644;20.3;1358;11.2;12.2;16.2;0;Frais;Non;Hiver
20190226;0.0;5.4;635;21.2;1446;12.3;13.3;15.8;0;Gris;Non;Hiver
20190227;0.0;5.5;555;22.9;1449;12.7;14.2;17.4;0;Gris;Non;Hiver
20190228;2.2;7.9;259;15.8;1505;11.8;11.9;7.9;0;Pluie;Non;Hiver
20190301;0.8;9.3;529;12.5;1215;10.6;10.9;3.2;0;Frais;Non;Hiver
20190302;0.8;8.3;559;13.2;1418;10.9;10.8;4.9;0;Frais;Non;Hiver
20190303;3.6;10.5;129;15.4;1315;12.8;13.0;4.9;0;Pluie;Non;Hiver
20190304;1.8;7.8;500;11.3;1257;9.4;9.6;3.5;0;Pluie;Non;Hiver
20190305;0.2;5.8;304;13.2;1534;9.1;9.5;7.4;0;Frais;Non;Hiver
20190306;11.8;8.8;134;12.2;1137;10.7;10.5;3.4;0;Pluie;Non;Hiver
20190307;0.6;7.8;502;13.5;1340;9.8;10.7;5.7;0;Frais;Non;Hiver
20190308;0.4;6.2;646;13.2;1237;9.7;9.7;7.0;0;Frais;Non;Hiver
20190309;5.8;8.6;1;15.9;1511;12.4;12.3;7.3;0;Pluie;Non;Hiver
20190310;1.6;10.1;1755;14.6;1159;11.7;12.4;4.5;0;Pluie;Non;Hiver
20190311;0.0;5.1;633;12.4;1439;8.0;8.8;7.3;0;Frais;Non;Hiver
20190312;2.4;5.2;642;13.3;1415;8.3;9.3;8.1;0;Pluie;Non;Hiver
20190313;1.4;5.2;508;12.7;1503;8.4;9.0;7.5;0;Pluie;Non;Hiver
20190314;5.2;7.5;412;12.5;559;9.8;10.0;5.0;0;Pluie;Non;Hiver
20190315;0.0;10.9;2252;14.8;1419;13.1;12.9;3.9;0;Doux;Non;Hiver
20190316;3.8;10.0;548;15.8;1548;12.0;12.9;5.8;0;Pluie;Non;Hiver
20190317;1.2;5.8;1739;10.9;1156;7.8;8.4;5.1;0;Pluie;Non;Hiver
20190318;0.0;5.3;2048;12.7;1330;8.2;9.0;7.4;0;Frais;Non;Hiver
20190319;0.0;3.6;619;15.3;1339;9.2;9.5;11.7;0;Frais;Non;Hiver
20190320;0.0;4.7;451;15.2;1316;9.7;10.0;10.5;0;Frais;Non;Printemps
20190321;0.0;5.6;534;18.8;1333;11.8;12.2;13.2;0;Frais;Non;Printemps
20190322;0.0;5.5;544;20.1;1549;12.2;12.8;14.6;0;Doux;Non;Printemps
20190323;0.0;5.8;559;16.2;1250;10.0;11.0;10.4;0;Frais;Non;Printemps
20190324;0.0;8.1;104;14.2;1639;10.1;11.2;6.1;0;Frais;Non;Printemps
20190325;0.0;5.3;505;14.7;1338;9.2;10.0;9.4;0;Frais;Non;Printemps
20190326;0.0;6.2;450;15.5;1518;9.9;10.9;9.3;0;Frais;Non;Printemps
20190327;0.0;4.7;510;16.3;1344;10.0;10.5;11.6;0;Frais;Non;Printemps
20190328;0.0;5.9;316;16.9;1330;10.7;11.4;11.0;0;Frais;Non;Printemps
20190329;0.0;5.3;535;20.3;1425;12.5;12.8;15.0;0;Doux;Non;Printemps
20190330;0.0;7.2;411;21.6;1604;13.5;14.4;14.4;0;Doux;Non;Printemps
20190331;0.0;7.1;528;23.4;1303;14.7;15.3;16.3;0;Doux;Non;Printemps
